uniprot_id,elm,kegg_id,kegg_name
A0A1B0SZV8,LIG_SH3_CIN85_PxpxPR_1,onl04514,Cell adhesion molecules 
A2VCK8,LIG_Actin_WH2_2,hsa04810,Regulation of actin cytoskeleton 
A5D8V6,LIG_EF_ALG2_ABM_1,hsa04144,Endocytosis 
A6NGB9,LIG_WH1,hsa04144,Endocytosis 
A6NGB9,LIG_WH1,hsa05130,Pathogenic Escherichia coli infection 
A6NGB9,LIG_WH1,hsa05135,Yersinia infection 
A7XXZ0,DEG_SCF_COI1_1,sly04075,Plant hormone signal transduction 
B2XVS2,DEG_SCF_COI1_1,sly04075,Plant hormone signal transduction 
B6KV60,LIG_SH3_CIN85_PxpxPR_1,tgo05145,Toxoplasmosis 
B7ULW4,LIG_PDZ_Class_1,ecg05130,Pathogenic Escherichia coli infection 
B7ULW4,LIG_SH3_PxxDY_5,ecg05130,Pathogenic Escherichia coli infection 
B7UM88,LIG_14-3-3_CanoR_1,ecg05130,Pathogenic Escherichia coli infection 
B7UM88,LIG_GBD_Chelix_1,ecg05130,Pathogenic Escherichia coli infection 
B7UM88,LIG_SH3_1,ecg05130,Pathogenic Escherichia coli infection 
B7UM99,LIG_14-3-3_CanoR_1,ecg05130,Pathogenic Escherichia coli infection 
B7UM99,LIG_IBAR_NPY_1,ecg05130,Pathogenic Escherichia coli infection 
B7UM99,LIG_SH2_NCK_1,ecg05130,Pathogenic Escherichia coli infection 
B7UMA0,LIG_PDZ_Class_1,ecg05130,Pathogenic Escherichia coli infection 
B7UR60,LIG_PDZ_Class_1,ecg05130,Pathogenic Escherichia coli infection 
C0H519,LIG_LIR_Apic_2,pfa04136,Autophagy   other 
C6UYI3,LIG_GBD_Chelix_1,etw02024,Quorum sensing 
C6UYI3,LIG_SH3_3,etw02024,Quorum sensing 
C6UYI3,LIG_GBD_Chelix_1,etw05130,Pathogenic Escherichia coli infection 
C6UYI3,LIG_SH3_3,etw05130,Pathogenic Escherichia coli infection 
C6UYL8,LIG_IBAR_NPY_1,etw05130,Pathogenic Escherichia coli infection 
C6UYL8,MOD_PRMT_GGRGG_1,etw05130,Pathogenic Escherichia coli infection 
E1WAC6,CLV_C14_Caspase3-7,sey05100,Bacterial invasion of epithelial cells 
E1WAC6,CLV_C14_Caspase3-7,sey05132,Salmonella infection 
G5EDL0,DOC_MAPK_FxFP_2,cel04010,MAPK signaling pathway 
G5EDL0,DOC_MAPK_FxFP_2,cel04012,ErbB signaling pathway 
G5EDV1,LIG_FZD_DVL_PDZ,cel04150,mTOR signaling pathway 
G5EDV1,LIG_FZD_DVL_PDZ,cel04310,Wnt signaling pathway 
G5EGD2,DEG_ODPH_VHL_1,cel04137,Mitophagy   animal 
G5EGD2,DEG_ODPH_VHL_1,cel04140,Autophagy   animal 
G5EGD2,DEG_ODPH_VHL_1,cel04212,Longevity regulating pathway   worm 
G5EGD2,DEG_ODPH_VHL_1,cel04361,Axon regeneration 
O00141,DOC_AGCK_PIF_1,hsa04068,FoxO signaling pathway 
O00141,DOC_AGCK_PIF_1,hsa04150,mTOR signaling pathway 
O00141,DOC_AGCK_PIF_1,hsa04151,PI3K Akt signaling pathway 
O00141,DOC_AGCK_PIF_1,hsa04960,Aldosterone regulated sodium reabsorption 
O00198,LIG_BH_BH3_1,hsa04210,Apoptosis 
O00203,LIG_Clathr_ClatBox_1,hsa04142,Lysosome 
O00206,MOD_N-GLC_1,hsa04064,NF kappa B signaling pathway 
O00206,MOD_N-GLC_1,hsa04066,HIF 1 signaling pathway 
