Isolate,CLV_C14_Caspase3-7,CLV_NRD_NRD_1,CLV_PCSK_FUR_1,CLV_PCSK_KEX2_1,CLV_PCSK_PC1ET2_1,CLV_PCSK_PC7_1,CLV_PCSK_SKI1_1,CLV_Separin_Metazoa,DEG_APCC_DBOX_1,DEG_SCF_FBW7_1,DEG_SIAH_1,DEG_SPOP_SBC_1,DOC_CKS1_1,DOC_CYCLIN_RevRxL_6,DOC_CYCLIN_yCln2_LP_2,DOC_MAPK_MEF2A_6,DOC_MAPK_RevD_3,DOC_MAPK_gen_1,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_USP7_MATH_1,DOC_USP7_MATH_2,DOC_USP7_UBL2_3,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_APCC_ABBA_1,LIG_APCC_ABBAyCdc20_2,LIG_Actin_WH2_2,LIG_Arc_Nlobe_1,LIG_BIR_III_3,LIG_BIR_II_1,LIG_BRCT_BRCA1_1,LIG_CaM_NSCaTE_8,LIG_CtBP_PxDLS_1,LIG_EH1_1,LIG_FHA_1,LIG_FHA_2,LIG_G3BP_FGDF_1,LIG_IRF7_LxLS_2,LIG_LIR_Apic_2,LIG_LIR_Gen_1,LIG_LIR_Nem_3,LIG_PCNA_PIPBox_1,LIG_PDZ_Class_3,LIG_PTAP_UEV_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_Pex14_1,LIG_Pex14_2,LIG_SH2_CRK,LIG_SH2_PTP2,LIG_SH2_SFK_2,LIG_SH2_STAP1,LIG_SH2_STAT3,LIG_SH2_STAT5,LIG_SH3_1,LIG_SH3_2,LIG_SH3_3,LIG_SH3_CIN85_PxpxPR_1,LIG_SUMO_SIM_anti_2,LIG_SUMO_SIM_par_1,LIG_TRAF2like_MATH_loPxQ_2,LIG_TRAF2like_MATH_shPxQ_1,LIG_TYR_ITIM,LIG_WD40_WDR5_VDV_1,LIG_WD40_WDR5_VDV_2,LIG_WD40_WDR5_WIN_2,LIG_WRC_WIRS_1,LIG_WW_3,LIG_eIF4E_1,MOD_CDC14_SPxK_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_Cter_Amidation,MOD_GSK3_1,MOD_GlcNHglycan,MOD_LATS_1,MOD_N-GLC_1,MOD_NEK2_2,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_PK_1,MOD_Plk_1,MOD_Plk_2-3,MOD_Plk_4,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_DiLeu_BaEn_1,TRG_DiLeu_BaLyEn_6,TRG_ENDOCYTIC_2,TRG_ER_diArg_1,TRG_NESrev_CRM1_2,TRG_NLS_MonoCore_2,TRG_NLS_MonoExtC_3,TRG_NLS_MonoExtN_4,TRG_Pf-PMV_PEXEL_1
AF492770.1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
GU361116.2,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
GU361118.2,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
HM147984.1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
J02363.1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
JQ771793.1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
JQ771794.1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
JQ771795.1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
JQ771796.1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
JQ771797.1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
