uniprot_id,elm,pathway_id,display_name
O00141,DOC_AGCK_PIF_1,R-HSA-2672351.1,Stimuli-sensing channels
O00141,DOC_AGCK_PIF_1,R-HSA-6804757.1,Regulation of TP53 Degradation
O00206,MOD_N-GLC_1,R-HSA-140534.1,Ligand-dependent caspase activation
O00206,MOD_N-GLC_1,R-HSA-166016.1,Toll Like Receptor 4 (TLR4) Cascade
O00206,MOD_N-GLC_1,R-HSA-166058.1,MyD88:Mal cascade initiated on plasma membrane
O00206,MOD_N-GLC_1,R-HSA-166166.1,MyD88-independent TLR3/TLR4 cascade 
O00206,MOD_N-GLC_1,R-HSA-2562578.1,TRIF-mediated programmed cell death
O00206,MOD_N-GLC_1,R-HSA-5602498.1,MyD88 deficiency (TLR2/4)
O00206,MOD_N-GLC_1,R-HSA-5603041.1,IRAK4 deficiency (TLR2/4)
O00206,MOD_N-GLC_1,R-HSA-936964.1,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
O00206,MOD_N-GLC_1,R-HSA-937041.1,IKK complex recruitment mediated by RIP1
O00206,MOD_N-GLC_1,R-HSA-937072.1,TRAF6 mediated induction of TAK1 complex
O00206,MOD_N-GLC_1,R-HSA-140534.1,Ligand-dependent caspase activation
O00206,MOD_N-GLC_1,R-HSA-166016.1,Toll Like Receptor 4 (TLR4) Cascade
O00206,MOD_N-GLC_1,R-HSA-166058.1,MyD88:Mal cascade initiated on plasma membrane
O00206,MOD_N-GLC_1,R-HSA-166166.1,MyD88-independent TLR3/TLR4 cascade 
O00206,MOD_N-GLC_1,R-HSA-2562578.1,TRIF-mediated programmed cell death
O00206,MOD_N-GLC_1,R-HSA-5602498.1,MyD88 deficiency (TLR2/4)
O00206,MOD_N-GLC_1,R-HSA-5603041.1,IRAK4 deficiency (TLR2/4)
O00206,MOD_N-GLC_1,R-HSA-936964.1,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon
O00206,MOD_N-GLC_1,R-HSA-937041.1,IKK complex recruitment mediated by RIP1
O00206,MOD_N-GLC_1,R-HSA-937072.1,TRAF6 mediated induction of TAK1 complex
O00221,DEG_SCF_TRCP1_1,R-HSA-1169091.1,Activation of NF-kappaB in B cells
O00408,MOD_NMyristoyl,R-HSA-418457.1,cGMP effects
O00408,MOD_NMyristoyl,R-HSA-418555.2,G alpha (s) signalling events
O00716,DOC_CYCLIN_1,R-HSA-1912408.1,Pre-NOTCH Transcription and Translation
O00716,DOC_CYCLIN_1,R-HSA-2559580.1,Oxidative Stress Induced Senescence
O00716,DOC_CYCLIN_1,R-HSA-2559585.1,Oncogene Induced Senescence
O00716,DOC_CYCLIN_1,R-HSA-68911.1,G2 Phase
O00716,DOC_CYCLIN_1,R-HSA-69231.2,Cyclin D associated events in G1
O14757,LIG_BIR_III_1,R-HSA-1433557.1,Signaling by SCF-KIT
O14757,LIG_BIR_III_1,R-HSA-176187.2,Activation of ATR in response to replication stress
O14757,LIG_BIR_III_1,R-HSA-5693607.1,Processing of DNA double-strand break ends
O14757,LIG_BIR_III_1,R-HSA-5693616.1,Presynaptic phase of homologous DNA pairing and strand exchange
O14757,LIG_BIR_III_1,R-HSA-6804756.1,Regulation of TP53 Activity through Phosphorylation
O14757,LIG_BIR_III_1,R-HSA-69473.3,G2/M DNA damage checkpoint
O14757,LIG_BIR_III_1,R-HSA-69601.1,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
O14757,LIG_BIR_III_1,R-HSA-75035.1,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
O14757,MOD_PIKK_1,R-HSA-1433557.1,Signaling by SCF-KIT
O14757,MOD_PIKK_1,R-HSA-176187.2,Activation of ATR in response to replication stress
O14757,MOD_PIKK_1,R-HSA-5693607.1,Processing of DNA double-strand break ends
